ISSN(Online),ISSN(Print),journal
"
","0653241
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"16622855
","0653268
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","001866X
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","065339X
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"18780555
","0653411
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0653322
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0653497
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0980137
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0929816
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0653500
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0653519
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","195878X
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"15578399
","0653527
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0653683
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0019402
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0019496
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0019518
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","4006755
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"14325241
","364216X
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","1492489
",Advances in contraception : the official journal of the Society for the Advancement of Contraception
"
","0020028
",The African journal of medical sciences
"
","194455X
",The African journal of medical sciences
"14682834
","0020729
",The African journal of medical sciences
"
","0020966
",The African journal of medical sciences
"
","0654299
",The African journal of medical sciences
"
","0020907
",The African journal of medical sciences
"
","3790363
",The African journal of medical sciences
"
","9449175
",The African journal of medical sciences
"
","0021148
",The African journal of medical sciences
"
","0446912
",The African journal of medical sciences
"
",,The African journal of medical sciences
"
","5683408
",The African journal of medical sciences
"
","3005704
",The African journal of medical sciences
"
","0655570
",The African journal of medical sciences
"1532818X
","1960709
",American journal of otolaryngology
"
","0655589
",American journal of otolaryngology
"
","3788504
",American journal of otolaryngology
"
","0652008
",American journal of otolaryngology
"24125679
","3009092
",American journal of otolaryngology
"
","3240959
",American journal of otolaryngology
"
","0024252
",The Alabama journal of medical sciences
"18727131
","3877604
",The Alabama journal of medical sciences
"
","0024317
",The Alabama journal of medical sciences
"
","2799529
",The Alabama journal of medical sciences
"
","0983764
",The Alabama journal of medical sciences
"
","1928562
",The American journal of pediatric hematology/oncology
"
","0024538
",The American journal of pediatric hematology/oncology
